型號,導程,行程,轉速
GTH3,2,50,3000
GTH3,2,100,3000
GTH3,2,150,3000
GTH3,2,200,3000
GTH3,2,250,2700
GTH3,2,300,2400
GTH3,2,350,2100
GTH3,2,400,1800
GTH3,2,450,1500
GTH3,2,500,1200
GTH3,8,50,3600
GTH3,8,100,3600
GTH3,8,150,3600
GTH3,8,200,3600
GTH3,8,250,3000
GTH3,8,300,2400
GTH3,8,350,2100
GTH3,8,400,1800
GTH3,8,450,1500
GTH3,8,500,1200
GTH3,12,50,3600
GTH3,12,100,3600
GTH3,12,150,3600
GTH3,12,200,3600
GTH3,12,250,3000
GTH3,12,300,2400
GTH3,12,350,2100
GTH3,12,400,1800
GTH3,12,450,1500
GTH3,12,500,1200
GTH4,2,50,3000
GTH4,2,100,3000
GTH4,2,150,3000
GTH4,2,200,3000
GTH4,2,250,3000
GTH4,2,300,3000
GTH4,2,350,3000
GTH4,2,400,3000
GTH4,2,450,3000
GTH4,2,500,3000
GTH4,2,550,3000
GTH4,2,600,2700
GTH4,2,650,2400
GTH4,2,700,2100
GTH4,2,750,1800
GTH4,2,800,1500
GTH4,2,850,1300
GTH4,2,900,1200
GTH4,2,950,1100
GTH4,2,1000,1000
GTH4,6,50,3600
GTH4,6,100,3600
GTH4,6,150,3600
GTH4,6,200,3600
GTH4,6,250,3600
GTH4,6,300,3600
GTH4,6,350,3600
GTH4,6,400,3600
GTH4,6,450,3600
GTH4,6,500,3300
GTH4,6,550,3200
GTH4,6,600,2700
GTH4,6,650,2400
GTH4,6,700,2100
GTH4,6,750,1800
GTH4,6,800,1500
GTH4,6,850,1300
GTH4,6,900,1200
GTH4,6,950,1100
GTH4,6,1000,1000
GTH4,12,50,3600
GTH4,12,100,3600
GTH4,12,150,3600
GTH4,12,200,3600
GTH4,12,250,3600
GTH4,12,300,3600
GTH4,12,350,3600
GTH4,12,400,3600
GTH4,12,450,3600
GTH4,12,500,3300
GTH4,12,550,3200
GTH4,12,600,2700
GTH4,12,650,2400
GTH4,12,700,2100
GTH4,12,750,1800
GTH4,12,800,1500
GTH4,12,850,1300
GTH4,12,900,1200
GTH4,12,950,1100
GTH4,12,1000,1000
GTH5,2,50,3000
GTH5,2,100,3000
GTH5,2,150,3000
GTH5,2,200,3000
GTH5,2,250,3000
GTH5,2,300,3000
GTH5,2,350,3000
GTH5,2,400,3000
GTH5,2,450,3000
GTH5,2,500,3000
GTH5,2,550,3000
GTH5,2,600,3000
GTH5,2,650,2700
GTH5,2,700,2400
GTH5,2,750,2100
GTH5,2,800,1800
GTH5,2,850,1500
GTH5,2,900,1400
GTH5,2,950,1200
GTH5,2,1000,1100
GTH5,2,1050,1000
GTH5,5,50,3600
GTH5,5,100,3600
GTH5,5,150,3600
GTH5,5,200,3600
GTH5,5,250,3600
GTH5,5,300,3600
GTH5,5,350,3600
GTH5,5,400,3600
GTH5,5,450,3600
GTH5,5,500,3600
GTH5,5,550,3500
GTH5,5,600,3000
GTH5,5,650,2700
GTH5,5,700,2400
GTH5,5,750,2100
GTH5,5,800,1800
GTH5,5,850,1500
GTH5,5,900,1400
GTH5,5,950,1200
GTH5,5,1000,1100
GTH5,5,1050,1000
GTH5,10,50,3600
GTH5,10,100,3600
GTH5,10,150,3600
GTH5,10,200,3600
GTH5,10,250,3600
GTH5,10,300,3600
GTH5,10,350,3600
GTH5,10,400,3600
GTH5,10,450,3600
GTH5,10,500,3600
GTH5,10,550,3500
GTH5,10,600,3000
GTH5,10,650,2700
GTH5,10,700,2400
GTH5,10,750,2100
GTH5,10,800,1800
GTH5,10,850,1500
GTH5,10,900,1400
GTH5,10,950,1200
GTH5,10,1000,1100
GTH5,10,1050,1000
GTH5,20,50,3600
GTH5,20,100,3600
GTH5,20,150,3600
GTH5,20,200,3600
GTH5,20,250,3600
GTH5,20,300,3600
GTH5,20,350,3600
GTH5,20,400,3600
GTH5,20,450,3600
GTH5,20,500,3600
GTH5,20,550,3500
GTH5,20,600,3000
GTH5,20,650,2700
GTH5,20,700,2400
GTH5,20,750,2100
GTH5,20,800,1800
GTH5,20,850,1500
GTH5,20,900,1400
GTH5,20,950,1200
GTH5,20,1000,1100
GTH5,20,1050,1000
GTH8,5,50,3600
GTH8,5,100,3600
GTH8,5,150,3600
GTH8,5,200,3600
GTH8,5,250,3600
GTH8,5,300,3600
GTH8,5,350,3600
GTH8,5,400,3600
GTH8,5,450,3600
GTH8,5,500,3600
GTH8,5,550,3600
GTH8,5,600,3600
GTH8,5,650,3500
GTH8,5,700,3000
GTH8,5,750,3000
GTH8,5,800,2700
GTH8,5,850,2400
GTH8,5,900,2100
GTH8,5,950,1800
GTH8,5,1000,1600
GTH8,5,1050,1400
GTH8,5,1100,1300
GTH8,5,1150,1200
GTH8,5,1200,1100
GTH8,5,1250,1000
GTH8,10,50,3600
GTH8,10,100,3600
GTH8,10,150,3600
GTH8,10,200,3600
GTH8,10,250,3600
GTH8,10,300,3600
GTH8,10,350,3600
GTH8,10,400,3600
GTH8,10,450,3600
GTH8,10,500,3600
GTH8,10,550,3600
GTH8,10,600,3600
GTH8,10,650,3500
GTH8,10,700,3000
GTH8,10,750,3000
GTH8,10,800,2700
GTH8,10,850,2400
GTH8,10,900,2100
GTH8,10,950,1800
GTH8,10,1000,1600
GTH8,10,1050,1400
GTH8,10,1100,1300
GTH8,10,1150,1200
GTH8,10,1200,1100
GTH8,10,1250,1000
GTH8,20,50,3600
GTH8,20,100,3600
GTH8,20,150,3600
GTH8,20,200,3600
GTH8,20,250,3600
GTH8,20,300,3600
GTH8,20,350,3600
GTH8,20,400,3600
GTH8,20,450,3600
GTH8,20,500,3600
GTH8,20,550,3600
GTH8,20,600,3600
GTH8,20,650,3500
GTH8,20,700,3000
GTH8,20,750,3000
GTH8,20,800,2700
GTH8,20,850,2400
GTH8,20,900,2100
GTH8,20,950,1800
GTH8,20,1000,1600
GTH8,20,1050,1400
GTH8,20,1100,1300
GTH8,20,1150,1200
GTH8,20,1200,1100
GTH8,20,1250,1000
GTH12,5,50,3600
GTH12,5,100,3600
GTH12,5,150,3600
GTH12,5,200,3600
GTH12,5,250,3600
GTH12,5,300,3600
GTH12,5,350,3600
GTH12,5,400,3600
GTH12,5,450,3600
GTH12,5,500,3600
GTH12,5,550,3600
GTH12,5,600,3600
GTH12,5,650,3600
GTH12,5,700,3600
GTH12,5,750,3300
GTH12,5,800,3000
GTH12,5,850,2700
GTH12,5,900,2400
GTH12,5,950,2100
GTH12,5,1000,2000
GTH12,5,1050,1900
GTH12,5,1100,1700
GTH12,5,1150,1600
GTH12,5,1200,1500
GTH12,5,1250,1400
GTH12,10,50,3600
GTH12,10,100,3600
GTH12,10,150,3600
GTH12,10,200,3600
GTH12,10,250,3600
GTH12,10,300,3600
GTH12,10,350,3600
GTH12,10,400,3600
GTH12,10,450,3600
GTH12,10,500,3600
GTH12,10,550,3600
GTH12,10,600,3600
GTH12,10,650,3600
GTH12,10,700,3600
GTH12,10,750,3300
GTH12,10,800,3000
GTH12,10,850,2700
GTH12,10,900,2400
GTH12,10,950,2100
GTH12,10,1000,2000
GTH12,10,1050,1900
GTH12,10,1100,1700
GTH12,10,1150,1600
GTH12,10,1200,1500
GTH12,10,1250,1400
GTH12,20,50,3600
GTH12,20,100,3600
GTH12,20,150,3600
GTH12,20,200,3600
GTH12,20,250,3600
GTH12,20,300,3600
GTH12,20,350,3600
GTH12,20,400,3600
GTH12,20,450,3600
GTH12,20,500,3600
GTH12,20,550,3600
GTH12,20,600,3600
GTH12,20,650,3600
GTH12,20,700,3600
GTH12,20,750,3300
GTH12,20,800,3000
GTH12,20,850,2700
GTH12,20,900,2400
GTH12,20,950,2100
GTH12,20,1000,2000
GTH12,20,1050,1900
GTH12,20,1100,1700
GTH12,20,1150,1600
GTH12,20,1200,1500
GTH12,20,1250,1400
GTH12,32,50,3600
GTH12,32,100,3600
GTH12,32,150,3600
GTH12,32,200,3600
GTH12,32,250,3600
GTH12,32,300,3600
GTH12,32,350,3600
GTH12,32,400,3600
GTH12,32,450,3600
GTH12,32,500,3600
GTH12,32,550,3600
GTH12,32,600,3600
GTH12,32,650,3600
GTH12,32,700,3600
GTH12,32,750,3300
GTH12,32,800,3000
GTH12,32,850,2700
GTH12,32,900,2400
GTH12,32,950,2100
GTH12,32,1000,2000
GTH12,32,1050,1900
GTH12,32,1100,1700
GTH12,32,1150,1600
GTH12,32,1200,1500
GTH12,32,1250,1400
GTH5S,2,25,3000
GTH5S,2,50,3000
GTH5S,2,75,3000
GTH5S,2,100,3000
GTH5S,2,125,3000
GTH5S,2,150,3000
GTH5S,2,175,3000
GTH5S,2,200,3000
GTH5S,2,225,3000
GTH5S,2,250,3000
GTH5S,2,275,3000
GTH5S,2,300,3000
GTH5S,2,325,3000
GTH5S,2,350,3000
GTH5S,2,375,3000
GTH5S,2,400,3000
GTH5S,2,425,3000
GTH5S,2,450,3000
GTH8S,5,25,3600
GTH8S,5,50,3600
GTH8S,5,75,3600
GTH8S,5,100,3600
GTH8S,5,125,3600
GTH8S,5,150,3600
GTH8S,5,175,3600
GTH8S,5,200,3600
GTH8S,5,225,3600
GTH8S,5,250,3600
GTH8S,5,275,3600
GTH8S,5,300,3600
GTH8S,5,325,3600
GTH8S,5,350,3600
GTH8S,5,375,3600
GTH8S,5,400,3600
GTH8S,5,425,3600
GTH8S,5,450,3600
GTH8S,5,475,3600
GTH8S,5,500,3600
GTH8S,5,525,3600
GTH4D,2,50,3000
GTH4D,2,100,3000
GTH4D,2,150,3000
GTH4D,2,200,3000
GTH4D,2,250,3000
GTH4D,2,300,3000
GTH4D,2,350,3000
GTH4D,2,400,3000
GTH4D,2,450,3000
GTH4D,2,500,2700
GTH4D,2,550,2400
GTH4D,2,600,2100
GTH4D,2,650,1800
GTH4D,2,700,1500
GTH4D,2,750,1300
GTH4D,2,800,1200
GTH4D,2,850,1100
GTH4D,2,900,1000
GTH4D,6,50,3600
GTH4D,6,100,3600
GTH4D,6,150,3600
GTH4D,6,200,3600
GTH4D,6,250,3600
GTH4D,6,300,3600
GTH4D,6,350,3600
GTH4D,6,400,3300
GTH4D,6,450,3200
GTH4D,6,500,2700
GTH4D,6,550,2400
GTH4D,6,600,2100
GTH4D,6,650,1800
GTH4D,6,700,1500
GTH4D,6,750,1300
GTH4D,6,800,1200
GTH4D,6,850,1100
GTH4D,6,900,1000
GTH4D,12,50,3600
GTH4D,12,100,3600
GTH4D,12,150,3600
GTH4D,12,200,3600
GTH4D,12,250,3600
GTH4D,12,300,3600
GTH4D,12,350,3600
GTH4D,12,400,3300
GTH4D,12,450,3200
GTH4D,12,500,2700
GTH4D,12,550,2400
GTH4D,12,600,2100
GTH4D,12,650,1800
GTH4D,12,700,1500
GTH4D,12,750,1300
GTH4D,12,800,1200
GTH4D,12,850,1100
GTH4D,12,900,1000
GTH5D,2,60,3000
GTH5D,2,110,3000
GTH5D,2,160,3000
GTH5D,2,210,3000
GTH5D,2,260,3000
GTH5D,2,310,3000
GTH5D,2,360,3000
GTH5D,2,410,3000
GTH5D,2,460,3000
GTH5D,2,510,2700
GTH5D,2,560,2400
GTH5D,2,610,2100
GTH5D,2,660,1800
GTH5D,2,710,1500
GTH5D,2,760,1400
GTH5D,2,810,1200
GTH5D,2,860,1100
GTH5D,2,910,1000
GTH5D,5,60,3600
GTH5D,5,110,3600
GTH5D,5,160,3600
GTH5D,5,210,3600
GTH5D,5,260,3600
GTH5D,5,310,3600
GTH5D,5,360,3600
GTH5D,5,410,3500
GTH5D,5,460,3000
GTH5D,5,510,2700
GTH5D,5,560,2400
GTH5D,5,610,2100
GTH5D,5,660,1800
GTH5D,5,710,1500
GTH5D,5,760,1400
GTH5D,5,810,1200
GTH5D,5,860,1100
GTH5D,5,910,1000
GTH5D,10,60,3600
GTH5D,10,110,3600
GTH5D,10,160,3600
GTH5D,10,210,3600
GTH5D,10,260,3600
GTH5D,10,310,3600
GTH5D,10,360,3600
GTH5D,10,410,3500
GTH5D,10,460,3000
GTH5D,10,510,2700
GTH5D,10,560,2400
GTH5D,10,610,2100
GTH5D,10,660,1800
GTH5D,10,710,1500
GTH5D,10,760,1400
GTH5D,10,810,1200
GTH5D,10,860,1100
GTH5D,10,910,1000
GTH5D,20,60,3600
GTH5D,20,110,3600
GTH5D,20,160,3600
GTH5D,20,210,3600
GTH5D,20,260,3600
GTH5D,20,310,3600
GTH5D,20,360,3600
GTH5D,20,410,3500
GTH5D,20,460,3000
GTH5D,20,510,2700
GTH5D,20,560,2400
GTH5D,20,610,2100
GTH5D,20,660,1800
GTH5D,20,710,1500
GTH5D,20,760,1400
GTH5D,20,810,1200
GTH5D,20,860,1100
GTH5D,20,910,1000
GTH8D,5,50,3600
GTH8D,5,100,3600
GTH8D,5,150,3600
GTH8D,5,200,3600
GTH8D,5,250,3600
GTH8D,5,300,3600
GTH8D,5,350,3600
GTH8D,5,400,3600
GTH8D,5,450,3600
GTH8D,5,500,3500
GTH8D,5,550,3000
GTH8D,5,600,3000
GTH8D,5,650,2700
GTH8D,5,700,2400
GTH8D,5,750,2100
